"tweet","label"
"Strong winds to continue at Irish airports this evening and into tomorrow morning Please check your flight status at http://t.co/Hanm5aKSZZ","0"
"We're looking for people to join the Dublin team for our summer schedule. Apply at http://t.co/ZGynUeNJwe #JobFairy","0"
"We're looking for people to join the Dublin team for our summer schedule. Apply at http://t.co/fbvm7JmgK9 #JobFairy http://t.co/XEtm0kC2eY","0"
"Some Dublin-bound flights have diverted to other airports today as a result of high winds. Get live flight status via our mobile app","0"
"Were looking for recruits to train as cabin crew and join us for summer 2015. #jobfairy http://t.co/tqi2dmpgIa","0"
"Our thoughts today are with the families and friends of those on board @Germanwings #4U9525","0"
"Here's a friendly reminder that the clocks go forward in many places tonight. All the more important if you're catching a flight tomorrow!","0"
"AirAsia Indonesia Flight QZ8501 Update (as of 2 January 2015 21:00 PM (GMT+7) https://t.co/ynLmQm6hXa","0"
"AirAsia Indonesia Flight QZ 8501 Update (as of 2 January 2015 21:00 PM (GMT+7) http://t.co/DqVOiChCBt","0"
"AirAsia Indonesia Flight QZ8501 Update (as of 3 January 2015 8:00 PM (GMT+7) http://t.co/WMRpPl6f2u","0"
"AirAsia Indonesia Flight QZ8501 Update (as of 4 January 2015 8:00 PM (GMT+7) https://t.co/jXUudi1m8W","0"
"AirAsia Indonesia Flight QZ8501 Update (as of 4 January 2015 10:00 PM (GMT+7) https://t.co/4cGn93jVGB","0"
"AirAsia Indonesia Flight QZ8501 Update (as of 5 January 2015 8:00 PM (GMT+7) http://t.co/ul9H7Ox6Ei","0"
"AirAsia Indonesia Flight QZ 8501 Update as of 6th January 2015 20:00 HRS LT (GMT+7) http://t.co/dZk27QL8FE","0"
"AirAsia Indonesia Flight QZ8501 UPDATE (as of 7th January 2015 8:00 PM (GMT+7) http://t.co/OEKAHPjAoZ","0"
"AirAsia Indonesia Flight QZ8501 UPDATE (as of 8th January 2015 8:00 PM (GMT+7) http://t.co/ofPCamcU0U","0"
"AirAsia Indonesia Flight QZ8501 UPDATE (as of 9th January 2015 7:00 PM (GMT+7) http://t.co/DhOcQ3wA6c","0"
"AirAsia Indonesia Flight QZ8501 UPDATE (as of 10th January 2015 9:00 PM (GMT+7) http://t.co/Pzhg9vWzNT","0"
"AirAsia Indonesia Flight QZ8501 UPDATE (as of 11th January 2015 9:00 PM (GMT+7) http://t.co/7x7r8kzY2j","0"
"AirAsia Indonesia Flight QZ8501 UPDATE (as of 12th JANUARY 2015 10:00 PM (GMT+7) http://t.co/4ZnEx9WyOR","0"
"AirAsia Indonesia Flight QZ8501 UPDATE (as of 13th JANUARY 2015 10:00 PM (GMT+7) http://t.co/HGIjdjLCVq","0"
"AirAsia Indonesia Flight QZ8501 UPDATE (as of 13th JANUARY 2015 9:00 PM (GMT+7) http://t.co/HGIjdjLCVq","0"
"AirAsia Indonesia Flight QZ8501 UPDATE (as of 14th JANUARY 2015 10:00 PM (GMT+7) http://t.co/HRPQK1YqS5","0"
"AirAsia Indonesia Flight QZ8501 UPDATE (as of 15th January 2015 9:00 PM (GMT+7) http://t.co/sBlJHAIT2F","0"
"Happy #Easter! We hope you're having a great time collecting yr eggs this year. Where will you be this weekend? http://t.co/wDdi28e7fZ","0"
"Stand together for a cleaner &amp; greener Earth. Happy Earth Day! http://t.co/D80ruibKTW","0"
"Stand together for a cleaner &amp; greener Earth. Happy Earth Day! http://t.co/rmFNzkCfsS","0"
"Celebrating Wesak Day? May you be surrounded by peace &amp; serenity :) Happy Wesak!","0"
"Happy Mother's Day to all wonderful mums!Don't forget to check out our Mother's Day surprise @ http://t.co/L0YvlM7d1E http://t.co/5QtF5Ws8aN","0"
"Nepal has been hit by its worst earthquake in over 80 years. Learn how you can do your part @ http://t.co/ZeOD0KpXB7 #ToNepalwithLove","0"
"Now more than ever, Nepal needs your help. Here_ 0_ 9s a look back and a call to help in its rebuilding. #travel3Sixty  http://t.co/U1i3e5qFpq","0"
"Volunteers wanted for the AirAsia Asean Traveller! More details &amp; share your applications @ https://t.co/LpoQ5i612C","0"
"Are u a confident,sassy designer just waiting to be discovered? Send yr sketches to http://t.co/KWaZcCHwzs &amp;make yr fashion dreams a reality","0"
"Dear Guests, for Customer Care enquiries please drop a tweet to @askairasia for assistance. Thank you.","0"
"Instagram Artist,Beach Specialist,Extreme Daredevil,Pro-Foodie,Selfie Expert - apply as the #AirAsiaAseanTraveller @ https://t.co/LpoQ5i612C","0"
"They say father knows best. Which quotes from your dad stuck with you the most? Share with us! Happy Father's Day! http://t.co/ljDWYXITpW","0"
"Hard Alert has been issued for YYF and YCG for December 19, 2014 due to forecasted low ceilings. More details http://t.co/naU7w4mJaw. /pd","0"
"Alerte Meteo pour YYF et YCG pour le 19 Decembre due aux conditions de plafond bas. plus de detail sur http://t.co/AhahEjms8E. /pd","0"
"Alert weather for YYF and YCG for December 19 due to the conditions of low ceiling. More details on http://aircan.ca/1Gx4e6E . / pd","0"
"Travel Alert  December 26: Wabush (YWK). Details, Flt Status &amp; rebook online. Change fees waived: http://t.co/CygEs3kDNt","0"
"Notice to travellers - 30/31 December: Las Vegas (LAS). News, flight status, modifications of reserv. toll free: http://t.co/pNzOCR1cmU","0"
"To all, we wish a happy and sweet new year. Thanks to follow and comment on our news! http://t.co/lVvf7Gxnxl","0"
"Were wishing you a year of happiness, love and success! Thank you for following and commenting on our latest news. http://t.co/rZ6sZvTqCj","0"
"Travel Alert  Jan 3: Toronto (YYZ), Montreal and Ottawa. Details, Flt Status &amp; rebook online. Change fees waived: http://t.co/lghTajYdmy","0"
"Advisories - January 3: Toronto (YYZ), Montreal and Ottawa. News, flight status, modifications of reserv. toll free: http://t.co/fz2vgxgARI","0"
"Travel Alert  Jan 4: YBG, YBC, YGP, YYY, YZV &amp; all of NB. Details, Flt Status &amp; rebook online. Change fees waived: http://t.co/fqGntjFQ4h","0"
"Advisories - 4 jan: YBG, YBC, YGP, YYY, YZV and any number. News, flight status, modifications of reserv. toll free: http://t.co/k9UqLQlzMl","0"
"Advisories - 4 jan: YBG, YKA, YLW, YYF, YQB, YZV and NB. News, flight status, modifications of reserv. toll free: http://t.co/KuZg3yyHog","0"
"Travel Alert  Jan 4: YBG, YKA, YLW, YYF, YQB, YZV &amp; all NB. Details, Flt Status &amp; rebook online. Change fees waived: http://t.co/rAVC1h9o9a","0"
"Travel Alert  January 4: Montreal (YUL) and Ottawa (YOW). Details, Flt Status &amp; rebook online. Change fees waived: http://t.co/qY0uZBgiFi","0"
"Advisories - January 4: Montreal (YUL) and Ottawa (YOW). News, flight status, modifications of reserv. toll free: http://t.co/CnYhCXpvy9","0"
"Alert travel to the East Coast for 05/01/15. More details on http://t.co/NITAdhltwC. / PD","0"
"Travel Alert for 05/01/15 East Coast, online re-protection tool has been activated, more at http://t.co/EUQUegJ3tM . /pd","0"
"Advisories - jan 6: BOS, EWR, LGA, PHL, YCG, YKA, YLW, &amp; YYF. Info, flight status, edit of reserv toll free: http://t.co/XbecwEvrKQ","0"
"Travel AlertJan 6: BOS, EWR, LGA, PHL, YCG, YKA, YLW &amp; YYF. Details, Flt Status &amp; rebook online. Change fees waived: http://t.co/MDwcLIW5cP","0"
"Travel Alert  January 6: YYC, YXT, YYD, YPR, JFK &amp; DCA. Details, Flt Status &amp; rebook online. Change fees waived: http://t.co/iu48QOkWe3","0"
"Travel advisory - 6 January: YYC, YXT, YYD, YPR, JFK &amp; DCA. News, flight status, modifications of reserv. toll free: http://t.co/OKUBEdjGGl","0"
"Sorry for our earlier mistweet #ACHeartsKessel #SomeOfUsAreHabsFansVeuillez apologize us for the mistake a little earlier today","0"
"Travel Alert January 9: Moncton (YQM) and Saint John (YSJ). Details, Flt Status &amp; rebook online. Change fees waived: http://t.co/9twtcb7YBX","0"
"Travel Alert  January 9: LGA, YQM, YSJ, YGR and YCD. Details, Flt Status &amp; rebook online. Change fees waived: http://t.co/aAggAAGqvZ","0"
"Advisories - January 9: LGA, YQM, YSJ, YGR and YCD. News, flight status, modifications of reserv. toll free: http://t.co/razVLnFdyB","0"
"Travel Alert  Jan 10: St. Johns (YYT) and Deer Lake (YDF). Details, Flt Status &amp; rebook online. Change fees waived: http://t.co/kpVXWaX5ZL","0"
"Advisories - 10 jan: St. John's (YYT) and Deer Lake (YDF). News, flight status, modifications of reserv. toll free: http://t.co/eiy4DfxMOV","0"
"Travel Alert  January 12: Toronto (YYZ &amp; YTZ). Details, Flt Status &amp; rebook online. Change fees waived: http://t.co/QrH7loZas6","0"
